,text,labels,productCode,productName,oldCategory,oldType,productCategory,WRONG,asdadsa,ingredientList
0,"101162822Walmart Slim Jim Twin Pack SnackSized Smoked Meat Stick, Mild Flavor, 194 Oz pantry candy & snacks snacks, chips, salsas & dips beef, pork, mechanically separated chicken, water, textured soy flour, corn syrup, salt, contains less than 2% of natural flavors, dextrose, paprika, hydrolyzed soy protein, lactic acid starter culture, caramel color, extractives of paprika, malt extract, wheat flour, sodium nitrite, citric acid, soy lecithin contains soy, wheat",miscellaneous snacks,101162822Walmart,"Slim Jim Twin Pack SnackSized Smoked Meat Stick, Mild Flavor, 194 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,miscellaneous snacks,"beef, pork, mechanically separated chicken, water, textured soy flour, corn syrup, salt, contains less than 2% of natural flavors, dextrose, paprika, hydrolyzed soy protein, lactic acid starter culture, caramel color, extractives of paprika, malt extract, wheat flour, sodium nitrite, citric acid, soy lecithin contains soy, wheat"
1,"101224596Walmart Lay's Kettle Cooked Jalapeno Potato Chips, 135 Oz pantry candy & snacks snacks, chips, salsas & dips potatoes, vegetable oil (sunflower, canola, , corn oil), jalapeno seasoning (maltodextrin made from corn, salt, dextrose, onion powder, torula yeast, spices, whey, paprika, natural flavors, sunflower oil, garlic powder, jalapeno pepper powder, and yeast extract)",chips,101224596Walmart,"Lay's Kettle Cooked Jalapeno Potato Chips, 135 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,chips,"potatoes, vegetable oil (sunflower, canola, , corn oil), jalapeno seasoning (maltodextrin made from corn, salt, dextrose, onion powder, torula yeast, spices, whey, paprika, natural flavors, sunflower oil, garlic powder, jalapeno pepper powder, and yeast extract)"
2,"101358990Walmart Great Value Tangy Fruit Smiles Snacks Size, 45 Oz, 50 Count pantry candy & snacks snacks, chips, salsas & dips sugar, corn syrup, modified food starch (corn), apple juice concentrate, cornstarch, canola oil, citric acid, ascorbic acid (vitamin c), natural and artificial flavors, sodium citrate white mineral oil, carnauba wax, red 40, yellow 6, yellow 5, blue 1",candy & chocolate,101358990Walmart,"Great Value Tangy Fruit Smiles Snacks Size, 45 Oz, 50 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate,"sugar, corn syrup, modified food starch (corn), apple juice concentrate, cornstarch, canola oil, citric acid, ascorbic acid (vitamin c), natural and artificial flavors, sodium citrate white mineral oil, carnauba wax, red 40, yellow 6, yellow 5, blue 1"
3,"101505651Walmart Haribo Dinosaurs Gummi Candies, 8 Oz pantry candy & snacks snacks, chips, salsas & dips corn syrup, sugar, dextrose, gelatin, contains less than 2% of citric acid, artificial and natural flavors, palm oil, palm kernel oil, canauba wax, white beeswax, yellow beeswax, yellow 5, red 40, blue 1",candy & chocolate,101505651Walmart,"Haribo Dinosaurs Gummi Candies, 8 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate,"corn syrup, sugar, dextrose, gelatin, contains less than 2% of citric acid, artificial and natural flavors, palm oil, palm kernel oil, canauba wax, white beeswax, yellow beeswax, yellow 5, red 40, blue 1"
4,"101970290Walmart Orbit Gum White, Spearmint Sugarfree Chewing Gum, Car Cup, 40 Pieces pantry candy & snacks snacks, chips, salsas & dips xylitol, gum base, less than 2% of natural and artificial flavors, acacia, aspartame, soy lecithin, sorbitol, acesulfame k, coloring (includes blue 1), sodium bicarbonate, carnauba wax, bht (to maintain freshness)",candy & chocolate,101970290Walmart,"Orbit Gum White, Spearmint Sugarfree Chewing Gum, Car Cup, 40 Pieces",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate,"xylitol, gum base, less than 2% of natural and artificial flavors, acacia, aspartame, soy lecithin, sorbitol, acesulfame k, coloring (includes blue 1), sodium bicarbonate, carnauba wax, bht (to maintain freshness)"
5,"102182244Walmart Bridgford Sweet Baby Ray's 'N Spicy Beef Jerky, 10 Oz pantry candy & snacks snacks, chips, salsas & dips beef, water, seasoning blend (salt, brown sugar, sugar, mustard, monosodium glutamate, dehydrated garlic, red pepper, sodium erythorbate, onion powder, spice extractive), brown sugar, sweet baby ray's jerky base (vinegar powder, dextrin, modified food starch, vinegar solids, tomato powder, pineapple juice powder, maltodextrin, pineapple juice, worcestershire sauce powder distilled vinegar, molasses, corn syrup, salt, caramel color, garlic powder, sugar, spices, tamarind, natural flavor and sulfating agents,",miscellaneous snacks,102182244Walmart,"Bridgford Sweet Baby Ray's 'N Spicy Beef Jerky, 10 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,miscellaneous snacks,"beef, water, seasoning blend (salt, brown sugar, sugar, mustard, monosodium glutamate, dehydrated garlic, red pepper, sodium erythorbate, onion powder, spice extractive), brown sugar, sweet baby ray's jerky base (vinegar powder, dextrin, modified food starch, vinegar solids, tomato powder, pineapple juice powder, maltodextrin, pineapple juice, worcestershire sauce powder distilled vinegar, molasses, corn syrup, salt, caramel color, garlic powder, sugar, spices, tamarind, natural flavor and sulfating agents,"
6,"102669585Walmart Hershey's Nuggets Milk Chocolate with Almonds, 158 Oz pantry candy & snacks snacks, chips, salsas & dips milk chocolate sugar, milk, cocoa butter, chocolate, milk fat, lecithin (soy), natural flavor, sugar, almonds, vegetable oil palm oil, sunflower oil, contains 2% or less of dairy butter (milk), salt, lecithin (soy)",candy & chocolate,102669585Walmart,"Hershey's Nuggets Milk Chocolate with Almonds, 158 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate,"milk chocolate sugar, milk, cocoa butter, chocolate, milk fat, lecithin (soy), natural flavor, sugar, almonds, vegetable oil palm oil, sunflower oil, contains 2% or less of dairy butter (milk), salt, lecithin (soy)"
7,"102722828Walmart Slim Jim Cali Taco Seasoned Smoked Snack Stick, 097 Oz pantry candy & snacks snacks, chips, salsas & dips beef, pork, mechanically separated chicken, water, textured soy flour, corn syrup, natural flavors, contains less than 2% of salt, dextrose, paprika and extractives of paprika, sugar, sodium phosphate, maltodextrin, lactic acid starter culture, citric acid, barley malt extract, hydrolyzed soy protein, soy lecithin, sodium nitrite contains soy",miscellaneous snacks,102722828Walmart,"Slim Jim Cali Taco Seasoned Smoked Snack Stick, 097 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,miscellaneous snacks,"beef, pork, mechanically separated chicken, water, textured soy flour, corn syrup, natural flavors, contains less than 2% of salt, dextrose, paprika and extractives of paprika, sugar, sodium phosphate, maltodextrin, lactic acid starter culture, citric acid, barley malt extract, hydrolyzed soy protein, soy lecithin, sodium nitrite contains soy"
8,"102766374Walmart Great Value Dried Cranberries Candied Pecans, 35 oz pantry candy & snacks snacks, chips, salsas & dips dried sweetened cranberries (cranberries, sugar, glycerin, citric aci, sunflower oil), canied pecans (pecans, sugar, contains less than 1% of the following butter cream, salt, salt, peanut , cottonseed oil, soy lecithin, caramel color)","nuts, seeds & dried fruit",102766374Walmart,"Great Value Dried Cranberries Candied Pecans, 35 oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,"nuts, seeds & dried fruit","dried sweetened cranberries (cranberries, sugar, glycerin, citric aci, sunflower oil), canied pecans (pecans, sugar, contains less than 1% of the following butter cream, salt, salt, peanut , cottonseed oil, soy lecithin, caramel color)"
9,"102910684Walmart Betty Crocker Shimmer and Shine Fruit Flavored Snacks Pouches, 8 Oz, 10 Count pantry candy & snacks snacks, chips, salsas & dips corn syrup, modified corn starch, apple juice concentrate contains 2% or less of citric acid, fruit pectin, sodium citrate, malic acid, dextrose, vitamin c (ascorbic acid), sunflower oil, color (vegetable juice, spirulina extract, fruit juice, annatto extract, and turmeric extract), natural flavor, carnauba waxadds a trivial amount of fat",candy & chocolate,102910684Walmart,"Betty Crocker Shimmer and Shine Fruit Flavored Snacks Pouches, 8 Oz, 10 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate,"corn syrup, modified corn starch, apple juice concentrate contains 2% or less of citric acid, fruit pectin, sodium citrate, malic acid, dextrose, vitamin c (ascorbic acid), sunflower oil, color (vegetable juice, spirulina extract, fruit juice, annatto extract, and turmeric extract), natural flavor, carnauba waxadds a trivial amount of fat"
10,"10291268Walmart Wasa Multi Grain Crispbread, 97 Oz pantry candy & snacks snacks, chips, salsas & dips whole grain rye flour, sourdough, oat flakes, whole grain wheat flour, whole grain oat flour, whole grain barley flour, yeast, barley malt extract, sunflower lecithin, salt",miscellaneous snacks,10291268Walmart,"Wasa Multi Grain Crispbread, 97 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,miscellaneous snacks,"whole grain rye flour, sourdough, oat flakes, whole grain wheat flour, whole grain oat flour, whole grain barley flour, yeast, barley malt extract, sunflower lecithin, salt"
11,"10291470Walmart Orville Redenbachers SmartPop Butter Popcorn 116 Oz 12 Count pantry candy & snacks snacks, chips, salsas & dips whole grain popping corn, palm oil, salt, natural flavor, color added (annatto, turmeric, paprika), butter, mixed tocopherols (vitamin e for freshness) contains milk",miscellaneous snacks,10291470Walmart,Orville Redenbachers SmartPop Butter Popcorn 116 Oz 12 Count,pantry,candy & snacks,"snacks, chips, salsas & dips",,miscellaneous snacks,"whole grain popping corn, palm oil, salt, natural flavor, color added (annatto, turmeric, paprika), butter, mixed tocopherols (vitamin e for freshness) contains milk"
12,"10292012Walmart Nabisco Minis Premium Original Saltine Crackers, 11 Oz pantry candy & snacks snacks, chips, salsas & dips unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), canola oil, salt, leavening (baking soda, yeast), malted barley flour bht added to packaging material to preserve freshness",cookies & crackers,10292012Walmart,"Nabisco Minis Premium Original Saltine Crackers, 11 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers,"unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), canola oil, salt, leavening (baking soda, yeast), malted barley flour bht added to packaging material to preserve freshness"
13,"10292082Walmart Nabisco Red Oval Farms Stoned Wheat Thin Crackers, 106 Oz pantry candy & snacks snacks, chips, salsas & dips unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), cracked wheat, canola oil, salt, yeast, malted barley flour, baking soda, sodium metabisulfite (dough conditioner)",cookies & crackers,10292082Walmart,"Nabisco Red Oval Farms Stoned Wheat Thin Crackers, 106 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers,"unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), cracked wheat, canola oil, salt, yeast, malted barley flour, baking soda, sodium metabisulfite (dough conditioner)"
14,"10292087Walmart Nabisco Easy Cheese Unpasteurized Sharp Cheddar Snack, 8 Oz pantry candy & snacks snacks, chips, salsas & dips water, cheddar cheese (milk, salt, cheese culture, enzymes), whey, canola oil, milk protein concentrate, whey protein concentrate, milk, contains less than 2% of sodium phosphate, sodium citrate, salt, calcium phosphate, lactic acid, sodium alginate, autolyzed yeast extract, sorbic acid as a preservative, cheese culture, enzymes, color (apocarotenal, annatto extract)",miscellaneous snacks,10292087Walmart,"Nabisco Easy Cheese Unpasteurized Sharp Cheddar Snack, 8 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,miscellaneous snacks,"water, cheddar cheese (milk, salt, cheese culture, enzymes), whey, canola oil, milk protein concentrate, whey protein concentrate, milk, contains less than 2% of sodium phosphate, sodium citrate, salt, calcium phosphate, lactic acid, sodium alginate, autolyzed yeast extract, sorbic acid as a preservative, cheese culture, enzymes, color (apocarotenal, annatto extract)"
15,"10292088Walmart Nabisco Easy Cheese Cheddar 'n Bacon Snack, 8 Oz pantry candy & snacks snacks, chips, salsas & dips cheddar cheese (milk salt enzymes), whey, water whey protein concentrate canola oil milk protein concentrate, contains less than 2% of sodium citrate sodium phosphate calcium phosphate salt lactic acid sorbic acid as a preservative natural flavor (includes smoke) yeast extract hydrolyzed corn protein sodium alginate monosodium glutamate tomato powder bacon (cured with water salt sugar sodium phosphate sodium erythorbate sodium nitrite) color (paprika apocarotenal annatto extract beet powder caramel color), ",miscellaneous snacks,10292088Walmart,"Nabisco Easy Cheese Cheddar 'n Bacon Snack, 8 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,miscellaneous snacks,"cheddar cheese (milk salt enzymes), whey, water whey protein concentrate canola oil milk protein concentrate, contains less than 2% of sodium citrate sodium phosphate calcium phosphate salt lactic acid sorbic acid as a preservative natural flavor (includes smoke) yeast extract hydrolyzed corn protein sodium alginate monosodium glutamate tomato powder bacon (cured with water salt sugar sodium phosphate sodium erythorbate sodium nitrite) color (paprika apocarotenal annatto extract beet powder caramel color), "
16,"10292089Walmart Nabisco Teddy Chocolate Grahams Snacks, 10 Oz pantry candy & snacks snacks, chips, salsas & dips graham flour (whole grain wheat flour), enriched unbleached flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), sugar, soybean , canola oil, cocoa, cocoa (processed with alkali), dextrose, calcium carbonate (source of calcium), maltodextrin, baking soda, salt, natural flavor (contains barley), soy lecithin, chocolate, artificial flavor",cookies & crackers,10292089Walmart,"Nabisco Teddy Chocolate Grahams Snacks, 10 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers,"graham flour (whole grain wheat flour), enriched unbleached flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), sugar, soybean , canola oil, cocoa, cocoa (processed with alkali), dextrose, calcium carbonate (source of calcium), maltodextrin, baking soda, salt, natural flavor (contains barley), soy lecithin, chocolate, artificial flavor"
17,"10292091Walmart Nabisco Teddy Cinnamon Graham Snacks, 10 Oz pantry candy & snacks snacks, chips, salsas & dips graham flour (whole grain wheat flour), unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), sugar, soybean , canola oil, dextrose, calcium carbonate (source of calcium), maltodextrin, salt, baking soda, cinnamon, soy lecithin, natural flavor",cookies & crackers,10292091Walmart,"Nabisco Teddy Cinnamon Graham Snacks, 10 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers,"graham flour (whole grain wheat flour), unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), sugar, soybean , canola oil, dextrose, calcium carbonate (source of calcium), maltodextrin, salt, baking soda, cinnamon, soy lecithin, natural flavor"
18,"10292092Walmart Nabisco Nutter Butter Real Peanut Cookies Family Size, 16 Oz pantry candy & snacks snacks, chips, salsas & dips unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), sugar, peanut butter (peanuts, corn syrup solids, hydrogenated rapeseed , cottonseed , soybean oils, salt, peanut oil), canola oil, whole grain wheat flour, palm oil, high fructose corn syrup, salt, leavening (baking soda , calcium phosphate), cornstarch, soy lecithin, artificial flavor",cookies & crackers,10292092Walmart,"Nabisco Nutter Butter Real Peanut Cookies Family Size, 16 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers,"unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), sugar, peanut butter (peanuts, corn syrup solids, hydrogenated rapeseed , cottonseed , soybean oils, salt, peanut oil), canola oil, whole grain wheat flour, palm oil, high fructose corn syrup, salt, leavening (baking soda , calcium phosphate), cornstarch, soy lecithin, artificial flavor"
19,"10292129Walmart Nabisco Nutter Butter Peanut Sandwich Cookies, 19 Oz, 12 Count pantry candy & snacks snacks, chips, salsas & dips unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), sugar, peanut butter (peanuts, corn syrup solids, hydrogenated rapeseed , cottonseed , soybean oils, salt, and peanut oil), vegetable oil (soybean , canola , palm , partially hydrogenated cottonseed oil), whole grain wheat flour, high fructose corn syrup, salt, leavening (baking soda, calcium phosphate), cornstarch, soy lecithin, artificial flavor",cookies & crackers,10292129Walmart,"Nabisco Nutter Butter Peanut Sandwich Cookies, 19 Oz, 12 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers,"unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), sugar, peanut butter (peanuts, corn syrup solids, hydrogenated rapeseed , cottonseed , soybean oils, salt, and peanut oil), vegetable oil (soybean , canola , palm , partially hydrogenated cottonseed oil), whole grain wheat flour, high fructose corn syrup, salt, leavening (baking soda, calcium phosphate), cornstarch, soy lecithin, artificial flavor"
20,"10292131Walmart Nabisco Oreo, Oreo Double Stuff, Golden, 212 Oz, 12 Count pantry candy & snacks snacks, chips, salsas & dips 00044000013561 unbleached enriched flour (wheat flour, niacin, ferrous fumarate iron, thiamin mononitrate vitamin b1, riboflavin vitamin b2, folic acid), sugar, canola , palm oil, dextrose, high fructose corn syrup, salt, leavening (baking soda , calcium phosphate), cornstarch, soy lecithin, natural and artificial flavor 00044000003005 sugar, unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), palm , canola oil, cocoa (processed ",cookies & crackers,10292131Walmart,"Nabisco Oreo, Oreo Double Stuff, Golden, 212 Oz, 12 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers,"00044000013561 unbleached enriched flour (wheat flour, niacin, ferrous fumarate iron, thiamin mononitrate vitamin b1, riboflavin vitamin b2, folic acid), sugar, canola , palm oil, dextrose, high fructose corn syrup, salt, leavening (baking soda , calcium phosphate), cornstarch, soy lecithin, natural and artificial flavor 00044000003005 sugar, unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), palm , canola oil, cocoa (processed "
21,"10292136Walmart Nabisco Newton's FatFree Fig Fruit Chewy Cookies, 21 Oz, 12 Count pantry candy & snacks snacks, chips, salsas & dips figs, whole grain wheat flour, sugar, unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), invert sugar, corn syrup, glycerin, salt, soy lecithin, leavening (baking soda, calcium phosphate), calcium lactate, sodium benzoate and sulfur dioxide (sulfites) added to preserve freshness, malic acid, artificial flavor, natural flavor adds a trivial amount of fat",cookies & crackers,10292136Walmart,"Nabisco Newton's FatFree Fig Fruit Chewy Cookies, 21 Oz, 12 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers,"figs, whole grain wheat flour, sugar, unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), invert sugar, corn syrup, glycerin, salt, soy lecithin, leavening (baking soda, calcium phosphate), calcium lactate, sodium benzoate and sulfur dioxide (sulfites) added to preserve freshness, malic acid, artificial flavor, natural flavor adds a trivial amount of fat"
22,"10292138Walmart Nabisco Ritz Cheese Cracker Sandwiches, 135 Oz, 8 Count pantry candy & snacks snacks, chips, salsas & dips unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), canola oil, palm oil, whey, wheat starch, sugar, semisoft cheese powder (pasteurized milk, cheese culture, salt, enzymes), high fructose corn syrup, salt, buttermilk solids, leavening (calcium phosphate , baking soda), sodium phosphate, soy lecithin, butter, enzyme modified butteroil, calcium phosphate, lactic acid, yellow 5, yellow 6, vegetable color (annatto extract and turmer",cookies & crackers,10292138Walmart,"Nabisco Ritz Cheese Cracker Sandwiches, 135 Oz, 8 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers,"unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), canola oil, palm oil, whey, wheat starch, sugar, semisoft cheese powder (pasteurized milk, cheese culture, salt, enzymes), high fructose corn syrup, salt, buttermilk solids, leavening (calcium phosphate , baking soda), sodium phosphate, soy lecithin, butter, enzyme modified butteroil, calcium phosphate, lactic acid, yellow 5, yellow 6, vegetable color (annatto extract and turmer"
23,"10292637Walmart Nabisco Original Chicken in a Biskit Snack Crackers, 12 Oz pantry candy & snacks snacks, chips, salsas & dips unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), canola oil, sugar, salt, dextrose, monosodium glutamate, soy lecithin, baking soda, onion powder, dehydrated cooked chicken, hydrolyzed corn and yeast protein, spice extractives (includes celery), disodium inosinate and disodium guanylate (flavor enhancers)",cookies & crackers,10292637Walmart,"Nabisco Original Chicken in a Biskit Snack Crackers, 12 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers,"unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), canola oil, sugar, salt, dextrose, monosodium glutamate, soy lecithin, baking soda, onion powder, dehydrated cooked chicken, hydrolyzed corn and yeast protein, spice extractives (includes celery), disodium inosinate and disodium guanylate (flavor enhancers)"
24,"10292638Walmart Nabisco Lorna Doone Shortbread Cookies, 1 Oz, 10 Count pantry candy & snacks snacks, chips, salsas & dips unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), soybean , palm oil, sugar, partially hydrogenated cottonseed oil, corn flour, salt, high fructose corn syrup, baking soda, soy lecithin, cornstarch, artificial flavor",cookies & crackers,10292638Walmart,"Nabisco Lorna Doone Shortbread Cookies, 1 Oz, 10 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers,"unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), soybean , palm oil, sugar, partially hydrogenated cottonseed oil, corn flour, salt, high fructose corn syrup, baking soda, soy lecithin, cornstarch, artificial flavor"
25,"10292697Walmart Nabisco Wheat Thins Reduced Fat Snack Crackers, 145 Oz pantry candy & snacks snacks, chips, salsas & dips whole grain wheat flour, sugar, canola oil, cornstarch, malt syrup (from corn and barley), salt, refiner's syrup, leavening (calcium phosphate and baking soda) bht added to packaging material to preserve freshness",cookies & crackers,10292697Walmart,"Nabisco Wheat Thins Reduced Fat Snack Crackers, 145 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers,"whole grain wheat flour, sugar, canola oil, cornstarch, malt syrup (from corn and barley), salt, refiner's syrup, leavening (calcium phosphate and baking soda) bht added to packaging material to preserve freshness"
26,"10292698Walmart Nabisco Honey Maid Cinnamon Grahams, 144 Oz pantry candy & snacks snacks, chips, salsas & dips unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), graham flour (whole grain wheat flour), sugar, soybean oil, molasses, honey, leavening (baking soda , calcium phosphate), salt, cinnamon, soy lecithin, dextrose, natural flavor",cookies & crackers,10292698Walmart,"Nabisco Honey Maid Cinnamon Grahams, 144 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers,"unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), graham flour (whole grain wheat flour), sugar, soybean oil, molasses, honey, leavening (baking soda , calcium phosphate), salt, cinnamon, soy lecithin, dextrose, natural flavor"
27,"10292702Walmart Nabisco Nilla Reduced Fat Wafers, 11 Oz pantry candy & snacks snacks, chips, salsas & dips unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), sugar, high fructose corn syrup, canola oil, whey (from milk), palm oil, emulsifiers (vegetable monoglycerides, soy lecithin, datem), leavening (baking soda, calcium phosphate), salt, vanilla extract, artificial flavor, natural flavor",cookies & crackers,10292702Walmart,"Nabisco Nilla Reduced Fat Wafers, 11 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers,"unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid), sugar, high fructose corn syrup, canola oil, whey (from milk), palm oil, emulsifiers (vegetable monoglycerides, soy lecithin, datem), leavening (baking soda, calcium phosphate), salt, vanilla extract, artificial flavor, natural flavor"
