,label,text
0,pork,Swift Premium Pork Loin Boneless Vacuum Packaged Swift Premium Pork Loin Boneless Vacuum Packaged Swift Premium Pork Loin Boneless Vacuum Packaged Swift Premium Pork Loin Boneless Vacuum Packaged Swift Premium Pork Loin Boneless Vacuum Packaged Swift Premium Pork Loin Boneless Vacuum Packaged Swift Premium Pork Loin Boneless Vacuum Packaged    
1,beef,Kirkland Signature Ground Beef Patties 88% Lean / 12% Fat Kirkland Signature Ground Beef Patties 88% Lean / 12% Fat Kirkland Signature Ground Beef Patties 88% Lean / 12% Fat Kirkland Signature Ground Beef Patties 88% Lean / 12% Fat Kirkland Signature Ground Beef Patties 88% Lean / 12% Fat Kirkland Signature Ground Beef Patties 88% Lean / 12% Fat Kirkland Signature Ground Beef Patties 88% Lean / 12% Fat    
2,pork,Swift Premium Boneless Pork Shoulder Vacuum Packaged Swift Premium Boneless Pork Shoulder Vacuum Packaged Swift Premium Boneless Pork Shoulder Vacuum Packaged Swift Premium Boneless Pork Shoulder Vacuum Packaged Swift Premium Boneless Pork Shoulder Vacuum Packaged Swift Premium Boneless Pork Shoulder Vacuum Packaged Swift Premium Boneless Pork Shoulder Vacuum Packaged    
3,beef,Kirkland Signature USDA Prime Beef Loin Top Sirloin Cap Steak Boneless Kirkland Signature USDA Prime Beef Loin Top Sirloin Cap Steak Boneless Kirkland Signature USDA Prime Beef Loin Top Sirloin Cap Steak Boneless Kirkland Signature USDA Prime Beef Loin Top Sirloin Cap Steak Boneless Kirkland Signature USDA Prime Beef Loin Top Sirloin Cap Steak Boneless Kirkland Signature USDA Prime Beef Loin Top Sirloin Cap Steak Boneless Kirkland Signature USDA Prime Beef Loin Top Sirloin Cap Steak Boneless    
4,beef,Kirkland Signature USDA Choice Beef Chuck Pot Roast Boneless Kirkland Signature USDA Choice Beef Chuck Pot Roast Boneless Kirkland Signature USDA Choice Beef Chuck Pot Roast Boneless Kirkland Signature USDA Choice Beef Chuck Pot Roast Boneless Kirkland Signature USDA Choice Beef Chuck Pot Roast Boneless Kirkland Signature USDA Choice Beef Chuck Pot Roast Boneless Kirkland Signature USDA Choice Beef Chuck Pot Roast Boneless    
5,beef,Kirkland Signature USDA Prime Beef Loin Tenderloin Peeled Extreme Kirkland Signature USDA Prime Beef Loin Tenderloin Peeled Extreme Kirkland Signature USDA Prime Beef Loin Tenderloin Peeled Extreme Kirkland Signature USDA Prime Beef Loin Tenderloin Peeled Extreme Kirkland Signature USDA Prime Beef Loin Tenderloin Peeled Extreme Kirkland Signature USDA Prime Beef Loin Tenderloin Peeled Extreme Kirkland Signature USDA Prime Beef Loin Tenderloin Peeled Extreme    
6,beef,Kirkland Signature USDA Prime Beef Loin Tenderloin Steak Kirkland Signature USDA Prime Beef Loin Tenderloin Steak Kirkland Signature USDA Prime Beef Loin Tenderloin Steak Kirkland Signature USDA Prime Beef Loin Tenderloin Steak Kirkland Signature USDA Prime Beef Loin Tenderloin Steak Kirkland Signature USDA Prime Beef Loin Tenderloin Steak Kirkland Signature USDA Prime Beef Loin Tenderloin Steak    
7,pork,Kirkland Signature Pork Shoulder Country Style Ribs Boneless Kirkland Signature Pork Shoulder Country Style Ribs Boneless Kirkland Signature Pork Shoulder Country Style Ribs Boneless Kirkland Signature Pork Shoulder Country Style Ribs Boneless Kirkland Signature Pork Shoulder Country Style Ribs Boneless Kirkland Signature Pork Shoulder Country Style Ribs Boneless Kirkland Signature Pork Shoulder Country Style Ribs Boneless    
8,pork,Swift Premium Pork Loin Backribs Swift Premium Pork Loin Backribs Swift Premium Pork Loin Backribs Swift Premium Pork Loin Backribs Swift Premium Pork Loin Backribs Swift Premium Pork Loin Backribs Swift Premium Pork Loin Backribs    
9,beef,Kirkland Signature USDA Choice Beef for Stew Kirkland Signature USDA Choice Beef for Stew Kirkland Signature USDA Choice Beef for Stew Kirkland Signature USDA Choice Beef for Stew Kirkland Signature USDA Choice Beef for Stew Kirkland Signature USDA Choice Beef for Stew Kirkland Signature USDA Choice Beef for Stew    
