,label,text
0,prepared sides,"Salada Thai Ginger Mango Tea Salada Thai Ginger Mango Tea Salada Thai Ginger Mango Tea Salada Thai Ginger Mango Tea Salada Thai Ginger Mango Tea Salada Thai Ginger Mango Tea Salada Thai Ginger Mango Tea gger, apple pieces, chicy root, natural mango flav, citric acid, sweet blackberry leaves, mango pieces, galangal gger, apple pieces, chicy root, natural mango flav, citric acid, sweet blackberry leaves, mango pieces, galangal gger, apple pieces, chicy root, natural mango flav, citric acid, sweet blackberry leaves, mango pieces, galangal "
1,prepared sides,"Marie Callender's Bakes Fettuccini With Chicken And Broccoli Marie Callender's Bakes Fettuccini With Chicken And Broccoli Marie Callender's Bakes Fettuccini With Chicken And Broccoli Marie Callender's Bakes Fettuccini With Chicken And Broccoli Marie Callender's Bakes Fettuccini With Chicken And Broccoli Marie Callender's Bakes Fettuccini With Chicken And Broccoli Marie Callender's Bakes Fettuccini With Chicken And Broccoli cooked enriched pasta (water, durum flour ,durum wheat semola, niac, ferrous sulfate ,iron, thiame mononitrate, riblav, folic acid, soybean oil, dried egg whites), sauce (water, cream, parmesan and romano cheese  cows milk ,part skim milk, cheese culture, salt, enzymes, garlic sherry we, soybean oil, nonfat dry milk, contas     modified cn starch, salt, modified rice starch, gelat, xan gum, flavg, guar gum), cooked chicken (chicken breast, water, olive oil, isolated soy prote product ,isolated soy prote, mo cooked enriched pasta (water, durum flour ,durum wheat semola, niac, ferrous sulfate ,iron, thiame mononitrate, riblav, folic acid, soybean oil, dried egg whites), sauce (water, cream, parmesan and romano cheese  cows milk ,part skim milk, cheese culture, salt, enzymes, garlic sherry we, soybean oil, nonfat dry milk, contas     modified cn starch, salt, modified rice starch, gelat, xan gum, flavg, guar gum), cooked chicken (chicken breast, water, olive oil, isolated soy prote product ,isolated soy prote, mo cooked enriched pasta (water, durum flour ,durum wheat semola, niac, ferrous sulfate ,iron, thiame mononitrate, riblav, folic acid, soybean oil, dried egg whites), sauce (water, cream, parmesan and romano cheese  cows milk ,part skim milk, cheese culture, salt, enzymes, garlic sherry we, soybean oil, nonfat dry milk, contas     modified cn starch, salt, modified rice starch, gelat, xan gum, flavg, guar gum), cooked chicken (chicken breast, water, olive oil, isolated soy prote product ,isolated soy prote, mo "
2,prepared sides,"Hormel Slow Simmered Beef Tips Gravy Hormel Slow Simmered Beef Tips Gravy Hormel Slow Simmered Beef Tips Gravy Hormel Slow Simmered Beef Tips Gravy Hormel Slow Simmered Beef Tips Gravy Hormel Slow Simmered Beef Tips Gravy Hormel Slow Simmered Beef Tips Gravy beef, gravy (water, modified corn starch, whey from milk, hydrolyzed soy, corn, and wheat gluten protein, salt, shortening partially hydrogenated soybean oil, corn syrup solids, sodium caseinate from milk, and mono-and diglycerides, caramel color, sugar, onion powder, corn syrup solids, disodium inosinate and disodium guanylate, thiamine hydrochloride) beef, gravy (water, modified corn starch, whey from milk, hydrolyzed soy, corn, and wheat gluten protein, salt, shortening partially hydrogenated soybean oil, corn syrup solids, sodium caseinate from milk, and mono-and diglycerides, caramel color, sugar, onion powder, corn syrup solids, disodium inosinate and disodium guanylate, thiamine hydrochloride) beef, gravy (water, modified corn starch, whey from milk, hydrolyzed soy, corn, and wheat gluten protein, salt, shortening partially hydrogenated soybean oil, corn syrup solids, sodium caseinate from milk, and mono-and diglycerides, caramel color, sugar, onion powder, corn syrup solids, disodium inosinate and disodium guanylate, thiamine hydrochloride) "
3,prepared sides,"Hormel Homestyle Meatloaf with Tomato Sauce Hormel Homestyle Meatloaf with Tomato Sauce Hormel Homestyle Meatloaf with Tomato Sauce Hormel Homestyle Meatloaf with Tomato Sauce Hormel Homestyle Meatloaf with Tomato Sauce Hormel Homestyle Meatloaf with Tomato Sauce Hormel Homestyle Meatloaf with Tomato Sauce beef and pork, tomato sauce (tomato paste, vinegar, water, seasoning sugar, salt, flavoring, soy lecithin), seasoning (cracker meal bleached wheat flour, beef stock, whey protein concentrate from milk, dextrose, textured vegetable protein soy protein concentrate, caramel color, dehydrated onion, encapsulated salt salt, partially hydrogenated soybean oil, hydrolyzed soy protein, dehydrated bell peppers, caramel color, worcestershire sauce solids distilled vinegar, molasses, corn syrup, salt, caramel color, g beef and pork, tomato sauce (tomato paste, vinegar, water, seasoning sugar, salt, flavoring, soy lecithin), seasoning (cracker meal bleached wheat flour, beef stock, whey protein concentrate from milk, dextrose, textured vegetable protein soy protein concentrate, caramel color, dehydrated onion, encapsulated salt salt, partially hydrogenated soybean oil, hydrolyzed soy protein, dehydrated bell peppers, caramel color, worcestershire sauce solids distilled vinegar, molasses, corn syrup, salt, caramel color, g beef and pork, tomato sauce (tomato paste, vinegar, water, seasoning sugar, salt, flavoring, soy lecithin), seasoning (cracker meal bleached wheat flour, beef stock, whey protein concentrate from milk, dextrose, textured vegetable protein soy protein concentrate, caramel color, dehydrated onion, encapsulated salt salt, partially hydrogenated soybean oil, hydrolyzed soy protein, dehydrated bell peppers, caramel color, worcestershire sauce solids distilled vinegar, molasses, corn syrup, salt, caramel color, g "
4,prepared sides,"Hormel Roasted Chicken Breasts Gravy Hormel Roasted Chicken Breasts Gravy Hormel Roasted Chicken Breasts Gravy Hormel Roasted Chicken Breasts Gravy Hormel Roasted Chicken Breasts Gravy Hormel Roasted Chicken Breasts Gravy Hormel Roasted Chicken Breasts Gravy chicken breast (boneless skinless chicken breast with rib meat, water, food starch modified, salt, seasoning chicken broth, salt, flavorings, sodium phosphates, dextrose), gravy (chicken broth, modified cornstarch, chicken flavor chicken fat, chicken broth and natural flavor, salt, onion powder, yeast extract, soybean oil, xanthan gum, garlic powder, spices, caramel color, annatto color) chicken breast (boneless skinless chicken breast with rib meat, water, food starch modified, salt, seasoning chicken broth, salt, flavorings, sodium phosphates, dextrose), gravy (chicken broth, modified cornstarch, chicken flavor chicken fat, chicken broth and natural flavor, salt, onion powder, yeast extract, soybean oil, xanthan gum, garlic powder, spices, caramel color, annatto color) chicken breast (boneless skinless chicken breast with rib meat, water, food starch modified, salt, seasoning chicken broth, salt, flavorings, sodium phosphates, dextrose), gravy (chicken broth, modified cornstarch, chicken flavor chicken fat, chicken broth and natural flavor, salt, onion powder, yeast extract, soybean oil, xanthan gum, garlic powder, spices, caramel color, annatto color) "
5,prepared sides,"Hormel Slow Simmered Beef Roast Au Jus Hormel Slow Simmered Beef Roast Au Jus Hormel Slow Simmered Beef Roast Au Jus Hormel Slow Simmered Beef Roast Au Jus Hormel Slow Simmered Beef Roast Au Jus Hormel Slow Simmered Beef Roast Au Jus Hormel Slow Simmered Beef Roast Au Jus seasoning  water, seasoning (dextrose, salt, modified cornstarch, caramel color, flavoring) seasoning  water, seasoning (dextrose, salt, modified cornstarch, caramel color, flavoring) seasoning  water, seasoning (dextrose, salt, modified cornstarch, caramel color, flavoring) "
6,prepared sides,"Hormel Slice Roasted Turkey Breast Gravy Hormel Slice Roasted Turkey Breast Gravy Hormel Slice Roasted Turkey Breast Gravy Hormel Slice Roasted Turkey Breast Gravy Hormel Slice Roasted Turkey Breast Gravy Hormel Slice Roasted Turkey Breast Gravy Hormel Slice Roasted Turkey Breast Gravy turkey breast (turkey breast meat, water, salt, brown sugar, sodium phosphate, dextrose, caramel color), gravy (water, modified cornstarch, flavoring chicken fat, maltodextrin, flavor, turkey stock, cooked turkey, chicken stock, chicken meat, wheat flour, salt, whey from milk, onion powder, caramel color, xanthan gum, guar gum, citric acid) turkey breast (turkey breast meat, water, salt, brown sugar, sodium phosphate, dextrose, caramel color), gravy (water, modified cornstarch, flavoring chicken fat, maltodextrin, flavor, turkey stock, cooked turkey, chicken stock, chicken meat, wheat flour, salt, whey from milk, onion powder, caramel color, xanthan gum, guar gum, citric acid) turkey breast (turkey breast meat, water, salt, brown sugar, sodium phosphate, dextrose, caramel color), gravy (water, modified cornstarch, flavoring chicken fat, maltodextrin, flavor, turkey stock, cooked turkey, chicken stock, chicken meat, wheat flour, salt, whey from milk, onion powder, caramel color, xanthan gum, guar gum, citric acid) "
7,prepared sides,"Lloyds Seasoned and Smoked St Louis Style Pork Spareribs in Original BBQ Sauce 368 oz 23 lbs Lloyds Seasoned and Smoked St Louis Style Pork Spareribs in Original BBQ Sauce 368 oz 23 lbs Lloyds Seasoned and Smoked St Louis Style Pork Spareribs in Original BBQ Sauce 368 oz 23 lbs Lloyds Seasoned and Smoked St Louis Style Pork Spareribs in Original BBQ Sauce 368 oz 23 lbs Lloyds Seasoned and Smoked St Louis Style Pork Spareribs in Original BBQ Sauce 368 oz 23 lbs Lloyds Seasoned and Smoked St Louis Style Pork Spareribs in Original BBQ Sauce 368 oz 23 lbs Lloyds Seasoned and Smoked St Louis Style Pork Spareribs in Original BBQ Sauce 368 oz 23 lbs cooked pork spareribs, tomato puree (water, tomato paste), high fructose corn syrup, contains 2% or less of white distilled vinegar, seasoning rub (sugar, spices, salt, paprika, dextrose, garlic powder, cocoa powder processed with alkali, tamarind extract  corn syrup, prune juice concentrate, extractives of tamarind, water, tartaric acid, caramel color, citric acid, molasses, tocopherols, sunflower oil, natural flavors), molasses, seasoning blend (modified cornstarch, salt, chili pepper, onion powder, papri cooked pork spareribs, tomato puree (water, tomato paste), high fructose corn syrup, contains 2% or less of white distilled vinegar, seasoning rub (sugar, spices, salt, paprika, dextrose, garlic powder, cocoa powder processed with alkali, tamarind extract  corn syrup, prune juice concentrate, extractives of tamarind, water, tartaric acid, caramel color, citric acid, molasses, tocopherols, sunflower oil, natural flavors), molasses, seasoning blend (modified cornstarch, salt, chili pepper, onion powder, papri cooked pork spareribs, tomato puree (water, tomato paste), high fructose corn syrup, contains 2% or less of white distilled vinegar, seasoning rub (sugar, spices, salt, paprika, dextrose, garlic powder, cocoa powder processed with alkali, tamarind extract  corn syrup, prune juice concentrate, extractives of tamarind, water, tartaric acid, caramel color, citric acid, molasses, tocopherols, sunflower oil, natural flavors), molasses, seasoning blend (modified cornstarch, salt, chili pepper, onion powder, papri "
8,prepared sides,"BUITONI Mixed Cheese Tortellini Refrigerated Pasta 20 oz Pack BUITONI Mixed Cheese Tortellini Refrigerated Pasta 20 oz Pack BUITONI Mixed Cheese Tortellini Refrigerated Pasta 20 oz Pack BUITONI Mixed Cheese Tortellini Refrigerated Pasta 20 oz Pack BUITONI Mixed Cheese Tortellini Refrigerated Pasta 20 oz Pack BUITONI Mixed Cheese Tortellini Refrigerated Pasta 20 oz Pack BUITONI Mixed Cheese Tortellini Refrigerated Pasta 20 oz Pack dough ground durum wheat, water, eggs, dried spinach filling ricotta cheese (whey, milk, cream, vinegar, salt), wheat flour, romano cheese (cultured pasteurized part skim cow's milk, salt, enzymes), water, parmesan cheese (cultured pasteurized part-skim milk, salt, enzymes), canola oil, skim milk, salt,  parmesan cheese paste ( cultured part-skim milk, salt, enzymes, water, sodium phosphate, enzymes), yeast, cream powder, sugar, spices, sunflower oil, natural flavor dough ground durum wheat, water, eggs, dried spinach filling ricotta cheese (whey, milk, cream, vinegar, salt), wheat flour, romano cheese (cultured pasteurized part skim cow's milk, salt, enzymes), water, parmesan cheese (cultured pasteurized part-skim milk, salt, enzymes), canola oil, skim milk, salt,  parmesan cheese paste ( cultured part-skim milk, salt, enzymes, water, sodium phosphate, enzymes), yeast, cream powder, sugar, spices, sunflower oil, natural flavor dough ground durum wheat, water, eggs, dried spinach filling ricotta cheese (whey, milk, cream, vinegar, salt), wheat flour, romano cheese (cultured pasteurized part skim cow's milk, salt, enzymes), water, parmesan cheese (cultured pasteurized part-skim milk, salt, enzymes), canola oil, skim milk, salt,  parmesan cheese paste ( cultured part-skim milk, salt, enzymes, water, sodium phosphate, enzymes), yeast, cream powder, sugar, spices, sunflower oil, natural flavor "
9,prepared sides,"BUITONI Three Cheese Tortellini Refrigerated Pasta 9 oz Pack BUITONI Three Cheese Tortellini Refrigerated Pasta 9 oz Pack BUITONI Three Cheese Tortellini Refrigerated Pasta 9 oz Pack BUITONI Three Cheese Tortellini Refrigerated Pasta 9 oz Pack BUITONI Three Cheese Tortellini Refrigerated Pasta 9 oz Pack BUITONI Three Cheese Tortellini Refrigerated Pasta 9 oz Pack BUITONI Three Cheese Tortellini Refrigerated Pasta 9 oz Pack dough ground durum wheat, water, eggs filling ricotta cheese (whey, milk, cream, vinegar, salt), wheat flour, romano cheese (cultured pasteurized part skim cow's milk, salt, enzymes), water, parmesan cheese (cultured pasteurized part-skim milk, salt, enzymes), canola oil, skim milk, salt,  parmesan cheese paste ( cultured part-skim milk, salt, enzymes, water, sodium phosphate, enzymes), yeast, cream powder, sugar, spices, sunflower oil, natural flavor dough ground durum wheat, water, eggs filling ricotta cheese (whey, milk, cream, vinegar, salt), wheat flour, romano cheese (cultured pasteurized part skim cow's milk, salt, enzymes), water, parmesan cheese (cultured pasteurized part-skim milk, salt, enzymes), canola oil, skim milk, salt,  parmesan cheese paste ( cultured part-skim milk, salt, enzymes, water, sodium phosphate, enzymes), yeast, cream powder, sugar, spices, sunflower oil, natural flavor dough ground durum wheat, water, eggs filling ricotta cheese (whey, milk, cream, vinegar, salt), wheat flour, romano cheese (cultured pasteurized part skim cow's milk, salt, enzymes), water, parmesan cheese (cultured pasteurized part-skim milk, salt, enzymes), canola oil, skim milk, salt,  parmesan cheese paste ( cultured part-skim milk, salt, enzymes, water, sodium phosphate, enzymes), yeast, cream powder, sugar, spices, sunflower oil, natural flavor "
