,label,text
0,fresh vegetables,Edible Gardens Living Herbs Potted Rosemary Edible Gardens Living Herbs Potted Rosemary Edible Gardens Living Herbs Potted Rosemary Edible Gardens Living Herbs Potted Rosemary Edible Gardens Living Herbs Potted Rosemary Edible Gardens Living Herbs Potted Rosemary Edible Gardens Living Herbs Potted Rosemary    
1,precut and ready to eat,"Maries Thousand Island Dressing Dip 12 fl oz Jar Maries Thousand Island Dressing Dip 12 fl oz Jar Maries Thousand Island Dressing Dip 12 fl oz Jar Maries Thousand Island Dressing Dip 12 fl oz Jar Maries Thousand Island Dressing Dip 12 fl oz Jar Maries Thousand Island Dressing Dip 12 fl oz Jar Maries Thousand Island Dressing Dip 12 fl oz Jar soybean oil, sweet relish (pickles, sugar, distilled vinegar, salt, onions, celery seed, xanthan gum, mustard seed, red bell pepper, natural flavors), tomato paste, sugar, sour cream (cultured nonfat milk, cream), water, egg yolks, distilled vinegar, contains less than 2% of red bell pepper, onion, spice, salt, lactic acid, oleoresin paprika (color) soybean oil, sweet relish (pickles, sugar, distilled vinegar, salt, onions, celery seed, xanthan gum, mustard seed, red bell pepper, natural flavors), tomato paste, sugar, sour cream (cultured nonfat milk, cream), water, egg yolks, distilled vinegar, contains less than 2% of red bell pepper, onion, spice, salt, lactic acid, oleoresin paprika (color) soybean oil, sweet relish (pickles, sugar, distilled vinegar, salt, onions, celery seed, xanthan gum, mustard seed, red bell pepper, natural flavors), tomato paste, sugar, sour cream (cultured nonfat milk, cream), water, egg yolks, distilled vinegar, contains less than 2% of red bell pepper, onion, spice, salt, lactic acid, oleoresin paprika (color) "
2,precut and ready to eat,"Marie's Creamy Ranch Dressing Dip, 12 fl oz Marie's Creamy Ranch Dressing Dip, 12 fl oz Marie's Creamy Ranch Dressing Dip, 12 fl oz Marie's Creamy Ranch Dressing Dip, 12 fl oz Marie's Creamy Ranch Dressing Dip, 12 fl oz Marie's Creamy Ranch Dressing Dip, 12 fl oz Marie's Creamy Ranch Dressing Dip, 12 fl oz soybean oil, cultured nonfat buttermilk, egg yolks, water, contains less than 2% of distilled vinegar, spices, salt, sugar, onion, garlic, xanthan gum, parsley soybean oil, cultured nonfat buttermilk, egg yolks, water, contains less than 2% of distilled vinegar, spices, salt, sugar, onion, garlic, xanthan gum, parsley soybean oil, cultured nonfat buttermilk, egg yolks, water, contains less than 2% of distilled vinegar, spices, salt, sugar, onion, garlic, xanthan gum, parsley "
3,precut and ready to eat,"Marie's Coleslaw Dressing, 12 fl oz Marie's Coleslaw Dressing, 12 fl oz Marie's Coleslaw Dressing, 12 fl oz Marie's Coleslaw Dressing, 12 fl oz Marie's Coleslaw Dressing, 12 fl oz Marie's Coleslaw Dressing, 12 fl oz Marie's Coleslaw Dressing, 12 fl oz soybean oil, sugar, apple cider vinegar, water, egg yolks, contains less than 2% of salt, natural flavors, dried torula yeast, celery seed, spice, xanthan gum, onion, garlic soybean oil, sugar, apple cider vinegar, water, egg yolks, contains less than 2% of salt, natural flavors, dried torula yeast, celery seed, spice, xanthan gum, onion, garlic soybean oil, sugar, apple cider vinegar, water, egg yolks, contains less than 2% of salt, natural flavors, dried torula yeast, celery seed, spice, xanthan gum, onion, garlic "
4,precut and ready to eat,"Marie's Caesar Dressing, 12 fl oz Marie's Caesar Dressing, 12 fl oz Marie's Caesar Dressing, 12 fl oz Marie's Caesar Dressing, 12 fl oz Marie's Caesar Dressing, 12 fl oz Marie's Caesar Dressing, 12 fl oz Marie's Caesar Dressing, 12 fl oz soybean oil, water, sour cream (cultured nonfat milk, cream), egg yolks, romano cheese (pasteurized milk, cheese culture, salt, enzymes), distilled vinegar, contains less than 2% of salt, buttermilk, garlic juice, spices, sugar, onion juice, lemon juice concentrate, anchovy, olive oil, xanthan gum, natural flavor soybean oil, water, sour cream (cultured nonfat milk, cream), egg yolks, romano cheese (pasteurized milk, cheese culture, salt, enzymes), distilled vinegar, contains less than 2% of salt, buttermilk, garlic juice, spices, sugar, onion juice, lemon juice concentrate, anchovy, olive oil, xanthan gum, natural flavor soybean oil, water, sour cream (cultured nonfat milk, cream), egg yolks, romano cheese (pasteurized milk, cheese culture, salt, enzymes), distilled vinegar, contains less than 2% of salt, buttermilk, garlic juice, spices, sugar, onion juice, lemon juice concentrate, anchovy, olive oil, xanthan gum, natural flavor "
5,precut and ready to eat,"Marie's Chunky Blue Cheese Dressing Dip, 12 fl oz Marie's Chunky Blue Cheese Dressing Dip, 12 fl oz Marie's Chunky Blue Cheese Dressing Dip, 12 fl oz Marie's Chunky Blue Cheese Dressing Dip, 12 fl oz Marie's Chunky Blue Cheese Dressing Dip, 12 fl oz Marie's Chunky Blue Cheese Dressing Dip, 12 fl oz Marie's Chunky Blue Cheese Dressing Dip, 12 fl oz soybean oil, cultured nonfat buttermilk, blue cheese (pasteurized milk, cheese cultures, salt, enzymes, natamycin mold inhibitor), sour cream (cultured nonfat milk, cream), egg yolks, distilled vinegar, contains less than 2% of spice, garlic, salt, mustard bran, xanthan gum soybean oil, cultured nonfat buttermilk, blue cheese (pasteurized milk, cheese cultures, salt, enzymes, natamycin mold inhibitor), sour cream (cultured nonfat milk, cream), egg yolks, distilled vinegar, contains less than 2% of spice, garlic, salt, mustard bran, xanthan gum soybean oil, cultured nonfat buttermilk, blue cheese (pasteurized milk, cheese cultures, salt, enzymes, natamycin mold inhibitor), sour cream (cultured nonfat milk, cream), egg yolks, distilled vinegar, contains less than 2% of spice, garlic, salt, mustard bran, xanthan gum "
6,precut and ready to eat,"Marie's Super Blue Cheese Dressing Dip 12 fl oz Jar Marie's Super Blue Cheese Dressing Dip 12 fl oz Jar Marie's Super Blue Cheese Dressing Dip 12 fl oz Jar Marie's Super Blue Cheese Dressing Dip 12 fl oz Jar Marie's Super Blue Cheese Dressing Dip 12 fl oz Jar Marie's Super Blue Cheese Dressing Dip 12 fl oz Jar Marie's Super Blue Cheese Dressing Dip 12 fl oz Jar soybean oil, blue cheese (pasteurized milk, cheese cultures, salt, enzymes, natamycin to protect flavor), cultured nonfat buttermilk, sour cream (cultured nonfat milk, cream), egg yolks, distilled vinegar, contains less than 2% of spices, salt, garlic, natural flavor, mustard bran, lactic acid, xanthan gum soybean oil, blue cheese (pasteurized milk, cheese cultures, salt, enzymes, natamycin to protect flavor), cultured nonfat buttermilk, sour cream (cultured nonfat milk, cream), egg yolks, distilled vinegar, contains less than 2% of spices, salt, garlic, natural flavor, mustard bran, lactic acid, xanthan gum soybean oil, blue cheese (pasteurized milk, cheese cultures, salt, enzymes, natamycin to protect flavor), cultured nonfat buttermilk, sour cream (cultured nonfat milk, cream), egg yolks, distilled vinegar, contains less than 2% of spices, salt, garlic, natural flavor, mustard bran, lactic acid, xanthan gum "
7,precut and ready to eat,"Marie's Balsamic Vinaigrette, 115 fl oz Marie's Balsamic Vinaigrette, 115 fl oz Marie's Balsamic Vinaigrette, 115 fl oz Marie's Balsamic Vinaigrette, 115 fl oz Marie's Balsamic Vinaigrette, 115 fl oz Marie's Balsamic Vinaigrette, 115 fl oz Marie's Balsamic Vinaigrette, 115 fl oz water, balsamic vinegar, soybean oil, red wine vinegar, brown sugar, extra virgin olive oil, contains less than 2% of salt, fruit & vegetable juice (color), xanthan gum, molasses, spices, natural flavors, garlic water, balsamic vinegar, soybean oil, red wine vinegar, brown sugar, extra virgin olive oil, contains less than 2% of salt, fruit & vegetable juice (color), xanthan gum, molasses, spices, natural flavors, garlic water, balsamic vinegar, soybean oil, red wine vinegar, brown sugar, extra virgin olive oil, contains less than 2% of salt, fruit & vegetable juice (color), xanthan gum, molasses, spices, natural flavors, garlic "
8,precut and ready to eat,"Marie's Creamy Ranch Dressing Dip, 25 fl oz Marie's Creamy Ranch Dressing Dip, 25 fl oz Marie's Creamy Ranch Dressing Dip, 25 fl oz Marie's Creamy Ranch Dressing Dip, 25 fl oz Marie's Creamy Ranch Dressing Dip, 25 fl oz Marie's Creamy Ranch Dressing Dip, 25 fl oz Marie's Creamy Ranch Dressing Dip, 25 fl oz soybean oil, cultured nonfat buttermilk, egg yolks, water, contains less than 2% of distilled vinegar, spices, salt, sugar, onion, garlic, xanthan gum, parsley soybean oil, cultured nonfat buttermilk, egg yolks, water, contains less than 2% of distilled vinegar, spices, salt, sugar, onion, garlic, xanthan gum, parsley soybean oil, cultured nonfat buttermilk, egg yolks, water, contains less than 2% of distilled vinegar, spices, salt, sugar, onion, garlic, xanthan gum, parsley "
9,precut and ready to eat,"Maries Chunky Blue Cheese 25 fl oz Jar Maries Chunky Blue Cheese 25 fl oz Jar Maries Chunky Blue Cheese 25 fl oz Jar Maries Chunky Blue Cheese 25 fl oz Jar Maries Chunky Blue Cheese 25 fl oz Jar Maries Chunky Blue Cheese 25 fl oz Jar Maries Chunky Blue Cheese 25 fl oz Jar soybean oil, cultured nonfat buttermilk, blue cheese (pasteurized milk, cheese cultures, salt, enzymes, natamycin mold inhibitor), sour cream (cultured nonfat milk, cream), egg yolks, distilled vinegar, contains less than 2% of spice, garlic, salt, mustard bran, xanthan gum soybean oil, cultured nonfat buttermilk, blue cheese (pasteurized milk, cheese cultures, salt, enzymes, natamycin mold inhibitor), sour cream (cultured nonfat milk, cream), egg yolks, distilled vinegar, contains less than 2% of spice, garlic, salt, mustard bran, xanthan gum soybean oil, cultured nonfat buttermilk, blue cheese (pasteurized milk, cheese cultures, salt, enzymes, natamycin mold inhibitor), sour cream (cultured nonfat milk, cream), egg yolks, distilled vinegar, contains less than 2% of spice, garlic, salt, mustard bran, xanthan gum "
