,label,text
0,fish,Kirkland Signature Wild Cold Water Lobster Tail Kirkland Signature Wild Cold Water Lobster Tail Kirkland Signature Wild Cold Water Lobster Tail Kirkland Signature Wild Cold Water Lobster Tail Kirkland Signature Wild Cold Water Lobster Tail Kirkland Signature Wild Cold Water Lobster Tail Kirkland Signature Wild Cold Water Lobster Tail    
1,fish,"Dockside Classics Lobster Cakes 4 CT Dockside Classics Lobster Cakes 4 CT Dockside Classics Lobster Cakes 4 CT Dockside Classics Lobster Cakes 4 CT Dockside Classics Lobster Cakes 4 CT Dockside Classics Lobster Cakes 4 CT Dockside Classics Lobster Cakes 4 CT lobster meat, lobster surimi (fish prote ,pollock , whitg, water, wheat starch, sbitol, egg whites, cn starch, contas     the followg lobster meat, sugar, soybean oil, salt, natural and artificial lobster flav, mir we, calcium carbonate, sodium tripolyphosphate, tetrasodium pyrophosphate, col added ,carme, paprika,), mayonnaise (soybean oil, egg yolk, water, high fructose cn syrup, vegar, contas     salt, spice, calcium disodium edta to protect flav), celery, breadcrumbs (bleached wheat flour, yeast, sugar, lobster meat, lobster surimi (fish prote ,pollock , whitg, water, wheat starch, sbitol, egg whites, cn starch, contas     the followg lobster meat, sugar, soybean oil, salt, natural and artificial lobster flav, mir we, calcium carbonate, sodium tripolyphosphate, tetrasodium pyrophosphate, col added ,carme, paprika,), mayonnaise (soybean oil, egg yolk, water, high fructose cn syrup, vegar, contas     salt, spice, calcium disodium edta to protect flav), celery, breadcrumbs (bleached wheat flour, yeast, sugar, lobster meat, lobster surimi (fish prote ,pollock , whitg, water, wheat starch, sbitol, egg whites, cn starch, contas     the followg lobster meat, sugar, soybean oil, salt, natural and artificial lobster flav, mir we, calcium carbonate, sodium tripolyphosphate, tetrasodium pyrophosphate, col added ,carme, paprika,), mayonnaise (soybean oil, egg yolk, water, high fructose cn syrup, vegar, contas     salt, spice, calcium disodium edta to protect flav), celery, breadcrumbs (bleached wheat flour, yeast, sugar, "
2,fish,PanaPesca Cleaned Octopus PanaPesca Cleaned Octopus PanaPesca Cleaned Octopus PanaPesca Cleaned Octopus PanaPesca Cleaned Octopus PanaPesca Cleaned Octopus PanaPesca Cleaned Octopus cleaned octopus cleaned octopus cleaned octopus 
3,fish,"Fresh Lemon Pepper Salmon Skin On Plank , 7512 lbs Fresh Lemon Pepper Salmon Skin On Plank , 7512 lbs Fresh Lemon Pepper Salmon Skin On Plank , 7512 lbs Fresh Lemon Pepper Salmon Skin On Plank , 7512 lbs Fresh Lemon Pepper Salmon Skin On Plank , 7512 lbs Fresh Lemon Pepper Salmon Skin On Plank , 7512 lbs Fresh Lemon Pepper Salmon Skin On Plank , 7512 lbs atlantic salmon (color added), maple bacon rub sugar, dextrose, bacon flavor (bacon flavor, gum arabic, salt), soy sauce (wheat, soybeans, salt), maltodextrin, salt, salt, dijon mustard (distilled vinegar, mustard, salt, citric acid, tartaric acid, spices), maple sugar, natural and artificial maple flavor, parsley, bacon bits (cured with water, salt, sugar, sodium nitrite, smoke flavoring, dextrose, brown sugar, sodium phosphates, sodium erythorbate, sodium ascorbate, potassium chloride, flavoring) atlantic salmon (color added), maple bacon rub sugar, dextrose, bacon flavor (bacon flavor, gum arabic, salt), soy sauce (wheat, soybeans, salt), maltodextrin, salt, salt, dijon mustard (distilled vinegar, mustard, salt, citric acid, tartaric acid, spices), maple sugar, natural and artificial maple flavor, parsley, bacon bits (cured with water, salt, sugar, sodium nitrite, smoke flavoring, dextrose, brown sugar, sodium phosphates, sodium erythorbate, sodium ascorbate, potassium chloride, flavoring) atlantic salmon (color added), maple bacon rub sugar, dextrose, bacon flavor (bacon flavor, gum arabic, salt), soy sauce (wheat, soybeans, salt), maltodextrin, salt, salt, dijon mustard (distilled vinegar, mustard, salt, citric acid, tartaric acid, spices), maple sugar, natural and artificial maple flavor, parsley, bacon bits (cured with water, salt, sugar, sodium nitrite, smoke flavoring, dextrose, brown sugar, sodium phosphates, sodium erythorbate, sodium ascorbate, potassium chloride, flavoring) "
4,fish,"TransOcean Crab Classic Flake Style Imitation Crab, 8 oz TransOcean Crab Classic Flake Style Imitation Crab, 8 oz TransOcean Crab Classic Flake Style Imitation Crab, 8 oz TransOcean Crab Classic Flake Style Imitation Crab, 8 oz TransOcean Crab Classic Flake Style Imitation Crab, 8 oz TransOcean Crab Classic Flake Style Imitation Crab, 8 oz TransOcean Crab Classic Flake Style Imitation Crab, 8 oz alaska pollock (msc certified), water, egg whites, corn starch, sugar, sorbitol, contains 2% or less of king crab meat, natural and artificial flavor (extracts of blue crab, snow crab, lobster, and alaska pollock), refined fish oil (anchovy, sardine), rice wine (water, rice, koji), modified tapioca starch, sea salt, carrageenan, yam flour, potassium chloride, disodium inosinate, sodium pyrophosphate, soy lecithin, carmine, paprika, color added alaska pollock (msc certified), water, egg whites, corn starch, sugar, sorbitol, contains 2% or less of king crab meat, natural and artificial flavor (extracts of blue crab, snow crab, lobster, and alaska pollock), refined fish oil (anchovy, sardine), rice wine (water, rice, koji), modified tapioca starch, sea salt, carrageenan, yam flour, potassium chloride, disodium inosinate, sodium pyrophosphate, soy lecithin, carmine, paprika, color added alaska pollock (msc certified), water, egg whites, corn starch, sugar, sorbitol, contains 2% or less of king crab meat, natural and artificial flavor (extracts of blue crab, snow crab, lobster, and alaska pollock), refined fish oil (anchovy, sardine), rice wine (water, rice, koji), modified tapioca starch, sea salt, carrageenan, yam flour, potassium chloride, disodium inosinate, sodium pyrophosphate, soy lecithin, carmine, paprika, color added "
5,fish,"TransOcean Crab Classic Imitation Leg Style, 80 OZ TransOcean Crab Classic Imitation Leg Style, 80 OZ TransOcean Crab Classic Imitation Leg Style, 80 OZ TransOcean Crab Classic Imitation Leg Style, 80 OZ TransOcean Crab Classic Imitation Leg Style, 80 OZ TransOcean Crab Classic Imitation Leg Style, 80 OZ TransOcean Crab Classic Imitation Leg Style, 80 OZ alaska pollock (msc certified), water, egg whites, corn starch, sugar, sorbitol, contains 2% or less of king crab meat, natural and artificial flavor (extracts of blue crab, snow crab, lobster, and alaska pollock), refined fish oil (anchovy, sardine), rice wine (water, rice, koji), modified tapioca starch, sea salt, carrageenan, yam flour, potassium chloride, disodium inosinate, sodium pyrophosphate, soy lecithin, carmine, paprika, color added alaska pollock (msc certified), water, egg whites, corn starch, sugar, sorbitol, contains 2% or less of king crab meat, natural and artificial flavor (extracts of blue crab, snow crab, lobster, and alaska pollock), refined fish oil (anchovy, sardine), rice wine (water, rice, koji), modified tapioca starch, sea salt, carrageenan, yam flour, potassium chloride, disodium inosinate, sodium pyrophosphate, soy lecithin, carmine, paprika, color added alaska pollock (msc certified), water, egg whites, corn starch, sugar, sorbitol, contains 2% or less of king crab meat, natural and artificial flavor (extracts of blue crab, snow crab, lobster, and alaska pollock), refined fish oil (anchovy, sardine), rice wine (water, rice, koji), modified tapioca starch, sea salt, carrageenan, yam flour, potassium chloride, disodium inosinate, sodium pyrophosphate, soy lecithin, carmine, paprika, color added "
6,fish,"Transocean Products Supreme Flake Style Family Pack Crab, 24 oz Transocean Products Supreme Flake Style Family Pack Crab, 24 oz Transocean Products Supreme Flake Style Family Pack Crab, 24 oz Transocean Products Supreme Flake Style Family Pack Crab, 24 oz Transocean Products Supreme Flake Style Family Pack Crab, 24 oz Transocean Products Supreme Flake Style Family Pack Crab, 24 oz Transocean Products Supreme Flake Style Family Pack Crab, 24 oz fish protein (alaska pollock , pacific whiting, msc certified), water, egg whites, corn starch, sugar, modified tapioca starch, contains 2% or less of snow crab meat, natural and artificial flavor (extracts of blue crab, snow crab, lobster, and alaska pollock), king crab meat, rice wine (water, rice, koji), sea salt, sorbitol, carrageenan, yam flour, potassium chloride, disodium inosinate, sodium pyrophosphate, soy lecithin, carmine, paprika, color added fish protein (alaska pollock , pacific whiting, msc certified), water, egg whites, corn starch, sugar, modified tapioca starch, contains 2% or less of snow crab meat, natural and artificial flavor (extracts of blue crab, snow crab, lobster, and alaska pollock), king crab meat, rice wine (water, rice, koji), sea salt, sorbitol, carrageenan, yam flour, potassium chloride, disodium inosinate, sodium pyrophosphate, soy lecithin, carmine, paprika, color added fish protein (alaska pollock , pacific whiting, msc certified), water, egg whites, corn starch, sugar, modified tapioca starch, contains 2% or less of snow crab meat, natural and artificial flavor (extracts of blue crab, snow crab, lobster, and alaska pollock), king crab meat, rice wine (water, rice, koji), sea salt, sorbitol, carrageenan, yam flour, potassium chloride, disodium inosinate, sodium pyrophosphate, soy lecithin, carmine, paprika, color added "
7,fish,Wegmans Fresh Boneless Monkfish Loins Wegmans Fresh Boneless Monkfish Loins Wegmans Fresh Boneless Monkfish Loins Wegmans Fresh Boneless Monkfish Loins Wegmans Fresh Boneless Monkfish Loins Wegmans Fresh Boneless Monkfish Loins Wegmans Fresh Boneless Monkfish Loins    
8,fish,"Panamei Seafood, Wild Caught Salted Pollock, Skinless Boneless Fillets, 2lbs Panamei Seafood, Wild Caught Salted Pollock, Skinless Boneless Fillets, 2lbs Panamei Seafood, Wild Caught Salted Pollock, Skinless Boneless Fillets, 2lbs Panamei Seafood, Wild Caught Salted Pollock, Skinless Boneless Fillets, 2lbs Panamei Seafood, Wild Caught Salted Pollock, Skinless Boneless Fillets, 2lbs Panamei Seafood, Wild Caught Salted Pollock, Skinless Boneless Fillets, 2lbs Panamei Seafood, Wild Caught Salted Pollock, Skinless Boneless Fillets, 2lbs    "
9,fish,"Bumble Bee Seasoned Tuna Lemon Sesame & Ginger Bumble Bee Seasoned Tuna Lemon Sesame & Ginger Bumble Bee Seasoned Tuna Lemon Sesame & Ginger Bumble Bee Seasoned Tuna Lemon Sesame & Ginger Bumble Bee Seasoned Tuna Lemon Sesame & Ginger Bumble Bee Seasoned Tuna Lemon Sesame & Ginger Bumble Bee Seasoned Tuna Lemon Sesame & Ginger light tuna, water, seasong (sugar, maltodextr, soy sauce powder, white sesame, hydrolyzed vegetable prote, citric acid, sodium diacetate, sodium citrate, garlic, salt, natural flavs, sesame seed oil, caramel col, paprika olees (col), chives, chili), gger, red sweet pepper, onion, ciander, vegetable broth, guar gum, lemon flav light tuna, water, seasong (sugar, maltodextr, soy sauce powder, white sesame, hydrolyzed vegetable prote, citric acid, sodium diacetate, sodium citrate, garlic, salt, natural flavs, sesame seed oil, caramel col, paprika olees (col), chives, chili), gger, red sweet pepper, onion, ciander, vegetable broth, guar gum, lemon flav light tuna, water, seasong (sugar, maltodextr, soy sauce powder, white sesame, hydrolyzed vegetable prote, citric acid, sodium diacetate, sodium citrate, garlic, salt, natural flavs, sesame seed oil, caramel col, paprika olees (col), chives, chili), gger, red sweet pepper, onion, ciander, vegetable broth, guar gum, lemon flav "
