productCode,productName,oldCategory,oldType,productCategory,productType
10291185Walmart,Maseca Instant Corn Masa Flour 44 lb Bag,pantry,other,pantry ,"rice, pasta, beans & grain"
10293232Walmart,"No Yolks Extra Broad Egg White Noodles, 12Ounce Bag",pantry,other,pantry ,"rice, pasta, beans & grain"
10294412Walmart,"Mazola 100% Pure Corn Oil, 128 oz",pantry,other,pantry,"seasoning, sauces, condiments & dressings"
10307429Walmart,"Kikkoman Soy Sauce, 125 QT",pantry,other,pantry,"seasoning, sauces, condiments & dressings"
10307788Walmart,"Lipton 100% Natural Tea Black Bags, 100 ct",pantry,other,beverages,"coffee, tea, & kombucha"
10308057Walmart,"McCormick Gourmet Organic Crystallized Ginger, 2 oz",pantry,other,"snacks, chips, salsas & dips",miscellaneous snacks
10308271Walmart,"Crisco Pure Vegetable Oil, 1Gallon",pantry,other,pantry,"seasoning, sauces, condiments & dressings"
10314931Walmart,"Great Value Pure Granulated Sugar, 10 lbs",pantry,other,pantry,baking
10315395Walmart,"Great Value Long Grain Enriched Rice, 5 Lb",pantry,other,pantry ,"rice, pasta, beans & grain"
10449266Walmart,"McCormick Gourmet Organic Ground Cardamom, 175 oz",pantry,other,pantry,"seasoning, sauces, condiments & dressings"
10451002Walmart,"Great Value Vegetable Oil, 48 fl oz",pantry,other,pantry,"seasoning, sauces, condiments & dressings"
10451011Walmart,"Great Value Vegetable Oil, 1 gal",pantry,other,pantry,"seasoning, sauces, condiments & dressings"
10533932Walmart,"Great Value Clover Honey, 48 oz",pantry,other,pantry,"seasoning, sauces, condiments & dressings"
10534107Walmart,"Great Value Elbows, 16 oz",pantry,other,pantry ,"rice, pasta, beans & grain"
10535079Walmart,"McCormick Gourmet Organic Saigon Cinnamon Sticks, 075 oz",pantry,other,pantry,"seasoning, sauces, condiments & dressings"
10848965Walmart,"Minute Instant White Rice, 28Ounce Box",pantry,other,pantry,"rice, pasta, beans & grain"
13281828Walmart,"Great Value Canola Oil, 1 gal",pantry,other,pantry,"seasoning, sauces, condiments & dressings"
13398022Walmart,"4 Cans StarKist Solid White Albacore Tuna in Water, 5 oz",pantry,other,pantry,canned & preserved goods
13448782Walmart,"McCormick Gourmet Organic Turkish Bay Leaves, 018 oz",pantry,other,pantry,"seasoning, sauces, condiments & dressings"
145844216Walmart,"Great Value Thick Creamy Macaroni Cheese, 725 oz, 6 count",pantry,other,pantry,"rice, pasta, beans & grain"
146950856Walmart,"RXBAR Blueberry Whole Food Protein Bars, Gluten Free, 10 Ct",pantry,other,"snacks, chips, salsas & dips",nutrition & granola bar
14869676Walmart,Kraft Original Flavor Macaroni Cheese Dinner 5 725 oz Boxes,pantry,other,pantry,"rice, pasta, beans & grain"
14940788Walmart,"4 Cans Bumble Bee Chunk Light Tuna in Water, Canned Fish, High Protein Food, 5 oz",pantry,other,pantry,canned & preserved goods
15529694Walmart,"Prego Pasta Sauce, Traditional, 67 oz Jar",pantry,other,pantry,canned & preserved goods
16927792Walmart,"Annie's Organic Berry Patch Bunny Fruit Snack Pouches, 5 Count",pantry,other,"snacks, chips, salsas & dips",candy & chocolate
176956371Walmart,"Campbell's SpaghettiOs Original, 158 oz Can, Pack of 4",pantry,other,pantry,canned & preserved goods
182574510Walmart,"Great Value Organic Chicken Broth, 32 oz",pantry,other,pantry,canned & preserved goods
20969691Walmart,Kelloggs Rice Krispies Treats Crispy Marshmallow Squares Bars 312oz 40 Ct,pantry,other,"snacks, chips, salsas & dips",candy & chocolate
22210456Walmart,"2 Cans Tyson Premium Chunk White Chicken Breast, 125 oz",pantry,other,pantry,canned & preserved goods
22210519Walmart,"Libby's Sweet Peas, 15 Oz, 4 Cans",pantry,other,pantry,canned & preserved goods
22210520Walmart,"Libby's Cut Green Beans, 145 Oz, 4 Cans",pantry,other,pantry,canned & preserved goods
287645742Walmart,Chicken Of The Sea Infusi,pantry,other,pantry,canned & preserved goods
31008715Walmart,"Rao's Homemade All Natural Marinara Sauce, 24 Oz",pantry,other,pantry,canned & preserved goods
32277575Walmart,"Mazola 100% Pure Corn Oil, 25 gal",pantry,other,pantry,"seasoning, sauces, condiments & dressings"
33142009Walmart,Underwood Deviled Ham Spread 6225 oz Cans,pantry,other,pantry,canned & preserved goods
33867594Walmart,"4 Cans Great Value Chunk Light Tuna in Water, 5 oz",pantry,other,pantry,canned & preserved goods
38454516Walmart,"McCormick Gourmet Organic Ground Coriander, 125 oz",pantry,other,pantry,"seasoning, sauces, condiments & dressings"
39098615Walmart,"2 Cans Great Value Chunk Chicken Breast in Water, 125 oz",pantry,other,pantry,canned & preserved goods
39778879Walmart,"Great Value Black Beans, 1525 oz, 4 count",pantry,other,pantry,canned & preserved goods
41583459Walmart,Bertolli Alfredo with Aged Parmesan Cheese Pasta Sauce 15 oz Pack of 2,pantry,other,pantry,canned & preserved goods
44465071Walmart,"6 Cans Armour Original Vienna Sausage, 46 oz",pantry,other,pantry,canned & preserved goods
466022475Walmart,Rxbar Mint Chocolate 4ea,pantry,other,"snacks, chips, salsas & dips",candy & chocolate
47927450Walmart,"McCormick Gourmet Organic Dill Weed, 05 oz",pantry,other,pantry,"seasoning, sauces, condiments & dressings"
47927452Walmart,"McCormick Gourmet Organic Rubbed Sage, 075 oz",pantry,other,pantry,"seasoning, sauces, condiments & dressings"
47927453Walmart,"McCormick Gourmet Organic Thyme Leaves, 065 oz",pantry,other,pantry,"seasoning, sauces, condiments & dressings"
47927457Walmart,"McCormick Gourmet Organic Herbes De Provence, 065 oz",pantry,other,pantry,"seasoning, sauces, condiments & dressings"
48387973Walmart,"8 Cans StarKist Chunk Light Tuna in Water, 5 oz",pantry,other,pantry,canned & preserved goods
49914752Walmart,"4 Cans Great Value Chunk Chicken Breast, 125 oz",pantry,other,pantry,canned & preserved goods
508631732Walmart,Nature Valley Crunchy Oats 'N Chocolate Snack Mix 10 Count,pantry,other,pantry ,nutrition & granola bar 
51258906Walmart,"4 Cans StarKist Chunk Light Tuna in Water, 5 oz",pantry,other,pantry,canned & preserved goods
