text,labels,productCode,productName,oldCategory,oldType,productCategory,WRONG,asdadsa
"101162822Walmart Slim Jim Twin Pack SnackSized Smoked Meat Stick, Mild Flavor, 194 Oz pantry candy & snacks snacks, chips, salsas & dips",miscellaneous snacks,101162822Walmart,"Slim Jim Twin Pack SnackSized Smoked Meat Stick, Mild Flavor, 194 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,miscellaneous snacks
"101224596Walmart Lay's Kettle Cooked Jalapeno Potato Chips, 135 Oz pantry candy & snacks snacks, chips, salsas & dips",chips,101224596Walmart,"Lay's Kettle Cooked Jalapeno Potato Chips, 135 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,chips
"101358990Walmart Great Value Tangy Fruit Smiles Snacks Size, 45 Oz, 50 Count pantry candy & snacks snacks, chips, salsas & dips",candy & chocolate,101358990Walmart,"Great Value Tangy Fruit Smiles Snacks Size, 45 Oz, 50 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate
"101505651Walmart Haribo Dinosaurs Gummi Candies, 8 Oz pantry candy & snacks snacks, chips, salsas & dips",candy & chocolate,101505651Walmart,"Haribo Dinosaurs Gummi Candies, 8 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate
"101970290Walmart Orbit Gum White, Spearmint Sugarfree Chewing Gum, Car Cup, 40 Pieces pantry candy & snacks snacks, chips, salsas & dips",candy & chocolate,101970290Walmart,"Orbit Gum White, Spearmint Sugarfree Chewing Gum, Car Cup, 40 Pieces",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate
"102182244Walmart Bridgford Sweet Baby Ray's 'N Spicy Beef Jerky, 10 Oz pantry candy & snacks snacks, chips, salsas & dips",miscellaneous snacks,102182244Walmart,"Bridgford Sweet Baby Ray's 'N Spicy Beef Jerky, 10 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,miscellaneous snacks
"102669585Walmart Hershey's Nuggets Milk Chocolate with Almonds, 158 Oz pantry candy & snacks snacks, chips, salsas & dips",candy & chocolate,102669585Walmart,"Hershey's Nuggets Milk Chocolate with Almonds, 158 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate
"102722828Walmart Slim Jim Cali Taco Seasoned Smoked Snack Stick, 097 Oz pantry candy & snacks snacks, chips, salsas & dips",miscellaneous snacks,102722828Walmart,"Slim Jim Cali Taco Seasoned Smoked Snack Stick, 097 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,miscellaneous snacks
"102766374Walmart Great Value Dried Cranberries Candied Pecans, 35 oz pantry candy & snacks snacks, chips, salsas & dips","nuts, seeds & dried fruit",102766374Walmart,"Great Value Dried Cranberries Candied Pecans, 35 oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,"nuts, seeds & dried fruit"
"102910684Walmart Betty Crocker Shimmer and Shine Fruit Flavored Snacks Pouches, 8 Oz, 10 Count pantry candy & snacks snacks, chips, salsas & dips",candy & chocolate,102910684Walmart,"Betty Crocker Shimmer and Shine Fruit Flavored Snacks Pouches, 8 Oz, 10 Count",pantry,candy & snacks,"snacks, chips, salsas & dips",,candy & chocolate
"10291268Walmart Wasa Multi Grain Crispbread, 97 Oz pantry candy & snacks snacks, chips, salsas & dips",miscellaneous snacks,10291268Walmart,"Wasa Multi Grain Crispbread, 97 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,miscellaneous snacks
"10291470Walmart Orville Redenbachers SmartPop Butter Popcorn 116 Oz 12 Count pantry candy & snacks snacks, chips, salsas & dips",miscellaneous snacks,10291470Walmart,Orville Redenbachers SmartPop Butter Popcorn 116 Oz 12 Count,pantry,candy & snacks,"snacks, chips, salsas & dips",,miscellaneous snacks
"10292012Walmart Nabisco Minis Premium Original Saltine Crackers, 11 Oz pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10292012Walmart,"Nabisco Minis Premium Original Saltine Crackers, 11 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10292082Walmart Nabisco Red Oval Farms Stoned Wheat Thin Crackers, 106 Oz pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10292082Walmart,"Nabisco Red Oval Farms Stoned Wheat Thin Crackers, 106 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10292087Walmart Nabisco Easy Cheese Unpasteurized Sharp Cheddar Snack, 8 Oz pantry candy & snacks snacks, chips, salsas & dips",miscellaneous snacks,10292087Walmart,"Nabisco Easy Cheese Unpasteurized Sharp Cheddar Snack, 8 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,miscellaneous snacks
"10292088Walmart Nabisco Easy Cheese Cheddar 'n Bacon Snack, 8 Oz pantry candy & snacks snacks, chips, salsas & dips",miscellaneous snacks,10292088Walmart,"Nabisco Easy Cheese Cheddar 'n Bacon Snack, 8 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,miscellaneous snacks
"10292089Walmart Nabisco Teddy Chocolate Grahams Snacks, 10 Oz pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10292089Walmart,"Nabisco Teddy Chocolate Grahams Snacks, 10 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10292091Walmart Nabisco Teddy Cinnamon Graham Snacks, 10 Oz pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10292091Walmart,"Nabisco Teddy Cinnamon Graham Snacks, 10 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
"10292092Walmart Nabisco Nutter Butter Real Peanut Cookies Family Size, 16 Oz pantry candy & snacks snacks, chips, salsas & dips",cookies & crackers,10292092Walmart,"Nabisco Nutter Butter Real Peanut Cookies Family Size, 16 Oz",pantry,candy & snacks,"snacks, chips, salsas & dips",,cookies & crackers
